Question,Marking Scheme,Student Response,Answer Rating
What is meant by ‘fixed cost’?,A cost that does not change with output/production in the short run ,Fixed cost refers to cost of things that do not change with output such as equipment. These costs are absent in the long run where all factors of production vary with output level. It can be arrived mathematically as FC= Total Cost-Variable Cost.,3
What is meant by ‘fixed cost’?,A cost that does not change with output/production in the short run ,These are cost of things that do not change with output.,2
What is meant by ‘fixed cost’?,A cost that does not change with output/production in the short run ,Fixed cost is cost of things that are fixed,1
What is the difference between equilibrium price and disequilibrium price?,Equilibrium price is where demand and supply are equal There are no surpluses or shortages/no pressure for price to change. Disequilibrium price is where demand and supply are not equal. There is a surplus or a shortage/pressure for price to change.,Equilibrium price refers to the price in the market where quantity of goods demanded equals quantity of goods supplied. It is also referred to as market clearing price because at that price there is usually no shortage/ excess in demand or supply. While Disequilibrium price refers to the price where quantity demand is not equal to the quantity supplied in the market.,3
What is the difference between equilibrium price and disequilibrium price?,Equilibrium price is where demand and supply are equal There are no surpluses or shortages/no pressure for price to change. Disequilibrium price is where demand and supply are not equal. There is a surplus or a shortage/pressure for price to change.,Equilibrium price is the price where the market is in equilibrium and no shortage while disequilibrium price is the price where the market is not in equilibrium and there is shortage or excess.,1
What is the difference between equilibrium price and disequilibrium price?,Equilibrium price is where demand and supply are equal There are no surpluses or shortages/no pressure for price to change. Disequilibrium price is where demand and supply are not equal. There is a surplus or a shortage/pressure for price to change.,This refers to the price where demand is equal to supply while disequilibrium price occurs where demand does not equal supply. ,2
Describe how resources are allocated in a market economy,"Consumers determine resource allocation. Producers respond to consumer demand. Resources are allocated via the price mechanism/preferences signalled via the price mechanism. If demand for a product rises, more resources will be allocated to it.","In a market economy, resources are usually allocated through a free and self-directed mechanism. The price system determined through the market acts as the primary medium which resources are put into use ",3
Describe how resources are allocated in a market economy,"Consumers determine resource allocation. Producers respond to consumer demand. Resources are allocated via the price mechanism/preferences signalled via the price mechanism. If demand for a product rises, more resources will be allocated to it.","In the market economy, resources are usually allocated by private ownership of resources and price assist to use scarce resources efficiently",2
Describe how resources are allocated in a market economy,"Consumers determine resource allocation. Producers respond to consumer demand. Resources are allocated via the price mechanism/preferences signalled via the price mechanism. If demand for a product rises, more resources will be allocated to it.",The market  economy is that market in which resources are allocated through market forces.,1
Describe how a public corporation differs from a public limited company.,A public corporation is state owned/in the public sector whereas a public limited company is owned by individuals/in the private sector.  A public limited company has shareholders whereas a public corporation does not. A public corporation seeks to provide a service/work in the public interest whereas a public limited company aims to maximize profit.,Public corporation is a company that is owned by the public while public limited company is a registered company that has shares limited.,1
Describe how a public corporation differs from a public limited company.,A public corporation is state owned/in the public sector whereas a public limited company is owned by individuals/in the private sector.  A public limited company has shareholders whereas a public corporation does not. A public corporation seeks to provide a service/work in the public interest whereas a public limited company aims to maximize profit.,"Public corporation is a type of business organization that is wholly owned by the government. Government receives all profits and risks attached in this type of business While Public limited company is that which has a minimum of two shareholders and no maximum shareholder with shares publicly traded. In this type of business, shareholders take all profits and risks involved in this type of business",3
Describe how a public corporation differs from a public limited company.,A public corporation is state owned/in the public sector whereas a public limited company is owned by individuals/in the private sector.  A public limited company has shareholders whereas a public corporation does not. A public corporation seeks to provide a service/work in the public interest whereas a public limited company aims to maximize profit.,Public corporation is a business organization owned by government while public limited company is a business set up to make profit by two or more people registered with shares publicly traded.,2
