,Question,Marking Scheme,Student Response,Answer Rating,ms_le,st_le,ms_n_words,st_n_words,word_Common,word_Total,word_share,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
0,What is meant by fixed cost?,A cost that does not change with output/production in the short run ,Fixed cost refers to cost of things that do not change with output such as equipment. These costs are absent in the long run where all factors of production vary with output level. It can be arrived mathematically as FC= Total Cost-Variable Cost.,3,68,246,13,43,8.0,51.0,0.1568627450980392,60,100,39,89,10
1,What is meant by fixed cost?,A cost that does not change with output/production in the short run ,These are cost of things that do not change with output.,2,68,56,13,11,5.0,24.0,0.20833333333333334,64,100,60,74,67
2,What is meant by fixed cost?,A cost that does not change with output/production in the short run ,Fixed cost is cost of things that are fixed,1,68,43,13,9,2.0,20.0,0.1,35,100,47,44,40
3,What is the difference between equilibrium price and disequilibrium price?,Equilibrium price is where demand and supply are equal There are no surpluses or shortages/no pressure for price to change. Disequilibrium price is where demand and supply are not equal. There is a surplus or a shortage/pressure for price to change.,Equilibrium price refers to the price in the market where quantity of goods demanded equals quantity of goods supplied. It is also referred to as market clearing price because at that price there is usually no shortage/ excess in demand or supply. While Disequilibrium price refers to the price where quantity demand is not equal to the quantity supplied in the market.,3,249,369,41,62,12.0,61.0,0.19672131147540983,46,100,7,75,9
4,What is the difference between equilibrium price and disequilibrium price?,Equilibrium price is where demand and supply are equal There are no surpluses or shortages/no pressure for price to change. Disequilibrium price is where demand and supply are not equal. There is a surplus or a shortage/pressure for price to change.,Equilibrium price is the price where the market is in equilibrium and no shortage while disequilibrium price is the price where the market is not in equilibrium and there is shortage or excess.,1,249,193,41,33,10.0,40.0,0.25,51,100,61,84,58
5,What is the difference between equilibrium price and disequilibrium price?,Equilibrium price is where demand and supply are equal There are no surpluses or shortages/no pressure for price to change. Disequilibrium price is where demand and supply are not equal. There is a surplus or a shortage/pressure for price to change.,This refers to the price where demand is equal to supply while disequilibrium price occurs where demand does not equal supply. ,2,249,127,41,22,9.0,41.0,0.21951219512195122,54,100,55,77,58
6,Describe how resources are allocated in a market economy,"Consumers determine resource allocation. Producers respond to consumer demand. Resources are allocated via the price mechanism/preferences signalled via the price mechanism. If demand for a product rises, more resources will be allocated to it.","In a market economy, resources are usually allocated through a free and self-directed mechanism. The price system determined through the market acts as the primary medium which resources are put into use ",3,244,204,34,33,7.0,54.0,0.12962962962962962,28,100,10,54,5
7,Describe how resources are allocated in a market economy,"Consumers determine resource allocation. Producers respond to consumer demand. Resources are allocated via the price mechanism/preferences signalled via the price mechanism. If demand for a product rises, more resources will be allocated to it.","In the market economy, resources are usually allocated by private ownership of resources and price assist to use scarce resources efficiently",2,244,141,34,21,6.0,47.0,0.1276595744680851,30,100,49,47,47
8,Describe how resources are allocated in a market economy,"Consumers determine resource allocation. Producers respond to consumer demand. Resources are allocated via the price mechanism/preferences signalled via the price mechanism. If demand for a product rises, more resources will be allocated to it.",The market  economy is that market in which resources are allocated through market forces.,1,244,90,34,15,4.0,41.0,0.0975609756097561,47,100,38,53,38
9,Describe how a public corporation differs from a public limited company.,A public corporation is state owned/in the public sector whereas a public limited company is owned by individuals/in the private sector.  A public limited company has shareholders whereas a public corporation does not. A public corporation seeks to provide a service/work in the public interest whereas a public limited company aims to maximize profit.,Public corporation is a company that is owned by the public while public limited company is a registered company that has shares limited.,1,352,137,55,23,10.0,45.0,0.2222222222222222,55,100,53,79,51
